xc_id,sci_name,common_name,recordist,country,date,time,length_s,quality,type,method,animal_seen,also,sampling_rate,xc_url,file_url,local_path
1089558,Troglodytes troglodytes,Eurasian Wren,David Darrell-Lambert,United Kingdom,2026-03-20,17:00,6,A,song,field recording,yes,[],48000,https://xeno-canto.org/1089558,https://xeno-canto.org/1089558/download,
1089437,Troglodytes troglodytes,Eurasian Wren,Andrew Harrop,United Kingdom,2026-03-20,07:00,6,A,song,field recording,no,[],44100,https://xeno-canto.org/1089437,https://xeno-canto.org/1089437/download,
1088872,Troglodytes troglodytes,Eurasian Wren,Paul Kelly,Ireland,2026-03-06,07:00,19,A,song,field recording,no,[],24000,https://xeno-canto.org/1088872,https://xeno-canto.org/1088872/download,
1088794,Troglodytes troglodytes,Eurasian Wren,David Darrell-Lambert,United Kingdom,2023-04-14,8:00,26,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1088794,https://xeno-canto.org/1088794/download,
1088760,Troglodytes troglodytes,Eurasian Wren,David Darrell-Lambert,United Kingdom,2014-04-30,8:00,28,A,singing,field recording,yes,[],96000,https://xeno-canto.org/1088760,https://xeno-canto.org/1088760/download,
1088722,Troglodytes troglodytes,Eurasian Wren,David Darrell-Lambert,United Kingdom,2020-04-19,8:00,48,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1088722,https://xeno-canto.org/1088722/download,
1088721,Troglodytes troglodytes,Eurasian Wren,David Darrell-Lambert,United Kingdom,2020-04-19,8:00,51,A,singing,field recording,yes,[],48000,https://xeno-canto.org/1088721,https://xeno-canto.org/1088721/download,
1088677,Troglodytes troglodytes,Eurasian Wren,David Darrell-Lambert,United Kingdom,2023-04-17,8:00,32,A,call,field recording,yes,[],48000,https://xeno-canto.org/1088677,https://xeno-canto.org/1088677/download,
1086531,Troglodytes troglodytes,Eurasian Wren,David Darrell-Lambert,United Kingdom,2026-03-07,16:00,16,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/1086531,https://xeno-canto.org/1086531/download,
1044258,Troglodytes troglodytes,Eurasian Wren,David Darrell-Lambert,United Kingdom,2025-09-30,11:00,58,A,alarm call,field recording,yes,[],48000,https://xeno-canto.org/1044258,https://xeno-canto.org/1044258/download,
1025759,Troglodytes troglodytes,Eurasian Wren,David Boyle,United Kingdom,2025-07-29,05:00,55,A,"call, song",field recording,no,"[""Emberiza citrinella""]",48000,https://xeno-canto.org/1025759,https://xeno-canto.org/1025759/download,
1019693,Troglodytes troglodytes,Eurasian Wren,He Wenjin/文进,United Kingdom,2025-07-20,5:00,19,A,song,field recording,yes,[],48000,https://xeno-canto.org/1019693,https://xeno-canto.org/1019693/download,
897406,Troglodytes troglodytes,Eurasian Wren,David Bissett,United Kingdom,2024-04-21,07:00,47,A,song,field recording,no,"[""Turdus merula""]",96000,https://xeno-canto.org/897406,https://xeno-canto.org/897406/download,
882571,Troglodytes troglodytes,Eurasian Wren,Paul Kelly,Ireland,2024-03-15,18:30,51,A,"song, Sheep.",field recording,no,"[""Chroicocephalus ridibundus""]",44100,https://xeno-canto.org/882571,https://xeno-canto.org/882571/download,
882126,Troglodytes troglodytes,Eurasian Wren,Paul Kelly,Ireland,2024-03-15,18:30,11,A,song,field recording,no,[],44100,https://xeno-canto.org/882126,https://xeno-canto.org/882126/download,
879393,Troglodytes troglodytes,Eurasian Wren,Mark Plummer,United Kingdom,2024-03-04,06:21,32,A,song,field recording,no,[],22050,https://xeno-canto.org/879393,https://xeno-canto.org/879393/download,
822150,Troglodytes troglodytes,Eurasian Wren,James Lambert,United Kingdom,2023-06-05,07:03,5,A,song,field recording,yes,"[""Turdus philomelos""]",48000,https://xeno-canto.org/822150,https://xeno-canto.org/822150/download,
812091,Troglodytes troglodytes,Eurasian Wren,Paul Driver,United Kingdom,2022-06-16,08:30,57,A,"song, in flight",field recording,yes,[],44100,https://xeno-canto.org/812091,https://xeno-canto.org/812091/download,
788818,Troglodytes troglodytes,Eurasian Wren,Simon Elliott,United Kingdom,1990-04-08,09:00,51,A,song,field recording,yes,"[""Erithacus rubecula""]",44100,https://xeno-canto.org/788818,https://xeno-canto.org/788818/download,
777055,Troglodytes troglodytes,Eurasian Wren,Fraser Simpson,United Kingdom,2022-06-23,06:00,33,A,song,field recording,yes,[],44100,https://xeno-canto.org/777055,https://xeno-canto.org/777055/download,
749506,Troglodytes troglodytes,Eurasian Wren,Irish Wildlife Sounds,Ireland,2022-08-25,09:00,24,A,song,field recording,no,[],44100,https://xeno-canto.org/749506,https://xeno-canto.org/749506/download,
749505,Troglodytes troglodytes,Eurasian Wren,Irish Wildlife Sounds,Ireland,2022-08-25,09:00,40,A,song,field recording,no,[],44100,https://xeno-canto.org/749505,https://xeno-canto.org/749505/download,
749461,Troglodytes troglodytes,Eurasian Wren,Irish Wildlife Sounds,Ireland,2022-08-17,07:00,12,A,alarm call,field recording,no,[],44100,https://xeno-canto.org/749461,https://xeno-canto.org/749461/download,
